iter	Logloss	Accuracy
0	0.2633832747	0.9561864448
1	0.1625729173	0.9698810045
2	0.1120873202	0.9798812825
3	0.08812304163	0.9856312252
4	0.07500321002	0.9873045993
5	0.06706443346	0.9891100361
6	0.05534087463	0.9902429955
7	0.05230608749	0.9897964148
8	0.04917668564	0.9903298788
9	0.04533520538	0.9911570087
10	0.04365987083	0.9912230401
11	0.04299336514	0.9912230401
12	0.04158636222	0.9915132306
13	0.04021590968	0.9915132306
14	0.03934214712	0.9919094189
15	0.03872021971	0.992060596
16	0.03824276961	0.992060596
17	0.03776857135	0.992060596
18	0.03732221126	0.9922204614
19	0.0370825521	0.9922482641
20	0.03677607458	0.9923073448
21	0.03663684356	0.9923073448
22	0.0361855848	0.9923073448
23	0.03596219718	0.9923073448
24	0.03591263512	0.9923073448
25	0.03584208801	0.9923073448
26	0.03572525862	0.9923073448
27	0.03572521502	0.9923073448
28	0.03567501521	0.9923073448
29	0.03559312887	0.9923073448
30	0.03555160796	0.9923073448
31	0.03549873849	0.9923073448
32	0.0354484911	0.9923073448
33	0.03541829082	0.9923073448
34	0.0353922821	0.9923073448
35	0.03537472099	0.9923073448
36	0.03533919888	0.9923073448
37	0.03531438041	0.9923073448
38	0.03531423213	0.9923073448
39	0.03528696769	0.9923073448
40	0.03525366121	0.9923073448
41	0.03522031323	0.9923073448
42	0.03522026239	0.9923073448
43	0.03522026239	0.9923073448
44	0.03519824662	0.9923073448
45	0.03519744031	0.9923073448
46	0.03518190133	0.9923073448
47	0.03518188442	0.9923073448
48	0.03518185798	0.9923073448
49	0.03518174007	0.9923073448
