iter	Passed	Remaining
0	47	2319
1	81	1950
2	113	1776
3	146	1689
4	179	1613
5	211	1550
6	244	1504
7	279	1468
8	314	1433
9	346	1387
10	380	1348
11	411	1302
12	448	1276
13	481	1236
14	518	1208
15	554	1178
16	586	1138
17	617	1097
18	649	1059
19	680	1020
20	713	984
21	744	947
22	777	912
23	829	898
24	860	860
25	894	825
26	928	791
27	957	752
28	993	719
29	1028	685
30	1062	651
31	1095	616
32	1136	585
33	1188	559
34	1225	525
35	1258	489
36	1290	453
37	1323	417
38	1354	382
39	1388	347
40	1421	311
41	1455	277
42	1482	241
43	1510	206
44	1545	171
45	1578	137
46	1610	102
47	1637	68
48	1665	33
49	1693	0
